Voy a explotar _cast,role,imdb_page
Juan Pablo de Santiago,Román,(as Juan Pablo Hernández),,,https://www.imdb.com//name/nm3123785/?ref_=ttfc_fc_cl_i1
Maria Deschamps,Maru,https://www.imdb.com//name/nm3117398/?ref_=ttfc_fc_cl_i2
Martha Claudia Moreno,Helena,https://www.imdb.com//name/nm1301218/?ref_=ttfc_fc_cl_i3
Daniel Giménez Cacho,Dip. Eugenio Valdez,https://www.imdb.com//name/nm0319843/?ref_=ttfc_fc_cl_i4
Rebecca Jones,Eva,https://www.imdb.com//name/nm0429079/?ref_=ttfc_fc_cl_i5
Renato Ornelas,Tulio,(as Renato Ornelas Parra),,,https://www.imdb.com//name/nm1381175/?ref_=ttfc_fc_cl_i6
Gustavo González,Pablo,https://www.imdb.com//name/nm4604109/?ref_=ttfc_fc_cl_i7
Carlos Narro,Professor Belmont,(as Carlos Narro Robles),,,https://www.imdb.com//name/nm3171394/?ref_=ttfc_fc_cl_i8
Denis Soto,Pepa,(as Denisse Soto),,,https://www.imdb.com//name/nm3487136/?ref_=ttfc_fc_cl_i9
Mauricio Porras,Beto,https://www.imdb.com//name/nm4712968/?ref_=ttfc_fc_cl_i10
Ximena Romo,Lucía,https://www.imdb.com//name/nm3183741/?ref_=ttfc_fc_cl_i11
Jana Sosnowski,Tina,https://www.imdb.com//name/nm4712860/?ref_=ttfc_fc_cl_i12
José Garcia Garcia,Marco,https://www.imdb.com//name/nm4712935/?ref_=ttfc_fc_cl_i13
Raúl Ortiz,Pedre Salvador,(as Raúl Sergio Ortiz),,,https://www.imdb.com//name/nm0651242/?ref_=ttfc_fc_cl_i14
Alejandro Illescas Calderón,Padre Antonio,https://www.imdb.com//name/nm4712844/?ref_=ttfc_fc_cl_i15
Rogelio Bravo Orozco,Pareja Pablo,https://www.imdb.com//name/nm4712884/?ref_=ttfc_fc_cl_i16
Marcela Espeso,Directora,https://www.imdb.com//name/nm4402978/?ref_=ttfc_fc_cl_i17
Anajosé Aldrete Echevarria,Magestra Presentadora,https://www.imdb.com//name/nm4712899/?ref_=ttfc_fc_cl_i18
Alejandra Benitez Madrigal,Pituca,https://www.imdb.com//name/nm4712950/?ref_=ttfc_fc_cl_i19
Eva Prudencio Ruiz,Petaca,https://www.imdb.com//name/nm4712863/?ref_=ttfc_fc_cl_i20
Evangelina Zaldivar Trejo,Secretaria,https://www.imdb.com//name/nm4712929/?ref_=ttfc_fc_cl_i21
Antonio Pescador Canto,Papá De Quinceañera,https://www.imdb.com//name/nm4712903/?ref_=ttfc_fc_cl_i22
Héctor Dávila,Cantor,(as Héctor 'Gava' Dávila),,,https://www.imdb.com//name/nm2201935/?ref_=ttfc_fc_cl_i23
Pedro 'Zulu' González,Vocalista de la Banda,https://www.imdb.com//name/nm1752980/?ref_=ttfc_fc_cl_i24
Manuel Cepeda Salinas,Doctor,https://www.imdb.com//name/nm4712957/?ref_=ttfc_fc_cl_i25
Oscar Leonardo Saucedo,Enfermero Psiquiã'trico,https://www.imdb.com//name/nm4712895/?ref_=ttfc_fc_cl_i26
