Ciudad de ciegos _cast_member,imdb_page
Directed by 
 Alberto Cortés ,https://www.imdb.com//name/nm0181505/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 José Agustín ,https://www.imdb.com//name/nm0013806/?ref_=ttfc_fc_wr1
 Hernann Bellinghaussen ,https://www.imdb.com//name/nm1738719/?ref_=ttfc_fc_wr2
 Alberto Cortés ,https://www.imdb.com//name/nm0181505/?ref_=ttfc_fc_wr3
 Marcela Fuentes-Berain ,https://www.imdb.com//name/nm0297491/?ref_=ttfc_fc_wr4
 Paz Alicia Garciadiego ,https://www.imdb.com//name/nm0305481/?ref_=ttfc_fc_wr5
 Silvia Tomasa Rivera ,https://www.imdb.com//name/nm1740780/?ref_=ttfc_fc_wr6
Produced by 
 Alberto Cortés ,https://www.imdb.com//name/nm0181505/?ref_=ttfc_fc_cr2
 Rosina Rivas ,https://www.imdb.com//name/nm1284217/?ref_=ttfc_fc_cr3
Cinematography by 
 Carlos Marcovich ,https://www.imdb.com//name/nm0546006/?ref_=ttfc_fc_cr4
Film Editing by 
Production Design by 
 Fernando Ramírez Romero ,https://www.imdb.com//name/nm0709229/?ref_=ttfc_fc_cr6
Art Direction by 
 Mónica Chirinos ,https://www.imdb.com//name/nm0158154/?ref_=ttfc_fc_cr7
Set Decoration by 
 Mónica Chirinos ,https://www.imdb.com//name/nm0158154/?ref_=ttfc_fc_cr8
 Omero Espinoza ,https://www.imdb.com//name/nm0261082/?ref_=ttfc_fc_cr9
Costume Design by 
 Mara González ,https://www.imdb.com//name/nm0328328/?ref_=ttfc_fc_cr10
Makeup Department 
 Raúl Sarmiento ,https://www.imdb.com//name/nm0765380/?ref_=ttfc_fc_cr11
Second Unit Director or Assistant Director 
 Batan Silva ,https://www.imdb.com//name/nm0798517/?ref_=ttfc_fc_cr12
 Sandra Solares ,https://www.imdb.com//name/nm0812709/?ref_=ttfc_fc_cr13
Art Department 
 Mónica Chirinos ,https://www.imdb.com//name/nm0158154/?ref_=ttfc_fc_cr14
 Antonio Godínez ,https://www.imdb.com//name/nm0324278/?ref_=ttfc_fc_cr15
Sound Department 
 Sergio Zenteno ,https://www.imdb.com//name/nm1383722/?ref_=ttfc_fc_cr16
Script and Continuity Department 
 Ana Rebuelta ,https://www.imdb.com//name/nm0714395/?ref_=ttfc_fc_cr17
