En el aire _cast_member,imdb_page
Directed by 
 Juan Carlos de Llaca ,https://www.imdb.com//name/nm0209800/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Alicia García Bergua ,https://www.imdb.com//name/nm0305552/?ref_=ttfc_fc_wr1
 Juan Carlos de Llaca ,https://www.imdb.com//name/nm0209800/?ref_=ttfc_fc_wr2
Produced by 
 Gonzalo Infante ,https://www.imdb.com//name/nm0408615/?ref_=ttfc_fc_cr2
Music by 
 Alejandro Giacomán ,https://www.imdb.com//name/nm0316037/?ref_=ttfc_fc_cr3
Cinematography by 
 Claudio Rocha ,https://www.imdb.com//name/nm0733763/?ref_=ttfc_fc_cr4
Film Editing by 
 Carlos Bolado ,https://www.imdb.com//name/nm0092632/?ref_=ttfc_fc_cr5
Art Direction by 
 Carmen Giménez Cacho ,https://www.imdb.com//name/nm0319842/?ref_=ttfc_fc_cr6
Costume Design by 
 Mónica Neumaier ,https://www.imdb.com//name/nm0626970/?ref_=ttfc_fc_cr7
Makeup Department 
 Lucrecia Muñoz ,https://www.imdb.com//name/nm0327963/?ref_=ttfc_fc_cr8
Second Unit Director or Assistant Director 
 Alan Coton ,https://www.imdb.com//name/nm0183063/?ref_=ttfc_fc_cr9
 Manuel Hinojosa ,https://www.imdb.com//name/nm0385862/?ref_=ttfc_fc_cr10
Additional Crew 
 Cesar Ahumada ,https://www.imdb.com//name/nm1819313/?ref_=ttfc_fc_cr11
