Especialista en chamacas _cast_member,imdb_page
Directed by 
 Chano Urueta ,https://www.imdb.com//name/nm0882190/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 José María Fernández Unsáin ,https://www.imdb.com//name/nm0273348/?ref_=ttfc_fc_wr1
 Gregorio Walerstein ,https://www.imdb.com//name/nm0907379/?ref_=ttfc_fc_wr2
Produced by 
 Gregorio Walerstein ,https://www.imdb.com//name/nm0907379/?ref_=ttfc_fc_cr2
Music by 
 Sergio Guerrero ,https://www.imdb.com//name/nm0346259/?ref_=ttfc_fc_cr3
Cinematography by 
 Enrique Wallace ,https://www.imdb.com//name/nm0908629/?ref_=ttfc_fc_cr4
Film Editing by 
 Rafael Ceballos ,https://www.imdb.com//name/nm0147502/?ref_=ttfc_fc_cr5
Production Design by 
 Jorge Fernández ,https://www.imdb.com//name/nm0273561/?ref_=ttfc_fc_cr7
Set Decoration by 
 Carlos Grandjean ,https://www.imdb.com//name/nm0334894/?ref_=ttfc_fc_cr8
Makeup Department 
 Dolores Camarillo ,https://www.imdb.com//name/nm0131282/?ref_=ttfc_fc_cr9
 Evelina Casas ,https://www.imdb.com//name/nm0143042/?ref_=ttfc_fc_cr10
Production Management 
 Julio Guerrero Tello ,https://www.imdb.com//name/nm0346150/?ref_=ttfc_fc_cr11
 Carlos Rodríguez M. ,https://www.imdb.com//name/nm1228758/?ref_=ttfc_fc_cr12
 Antonio H. Rodríguez ,https://www.imdb.com//name/nm0735732/?ref_=ttfc_fc_cr13
Second Unit Director or Assistant Director 
 Julio Cahero ,https://www.imdb.com//name/nm0128629/?ref_=ttfc_fc_cr14
Art Department 
 Pedro Gallo ,https://www.imdb.com//name/nm0303081/?ref_=ttfc_fc_cr15
Sound Department 
 Roberto Camacho ,https://www.imdb.com//name/nm0131131/?ref_=ttfc_fc_cr16
 Rodolfo Solís ,https://www.imdb.com//name/nm0813738/?ref_=ttfc_fc_cr17
Camera and Electrical Department 
 José Antonio Carrasco ,https://www.imdb.com//name/nm0140059/?ref_=ttfc_fc_cr18
 Mariano García ,https://www.imdb.com//name/nm1223142/?ref_=ttfc_fc_cr19
Editorial Department 
 Jorge Azcárate ,https://www.imdb.com//name/nm0044168/?ref_=ttfc_fc_cr20
 Abraham Cruz ,https://www.imdb.com//name/nm0190227/?ref_=ttfc_fc_cr21
 Tere Moreno ,https://www.imdb.com//name/nm0604191/?ref_=ttfc_fc_cr22
Music Department 
 Roberto Camacho ,https://www.imdb.com//name/nm0131131/?ref_=ttfc_fc_cr23
 Sergio Guerrero ,https://www.imdb.com//name/nm0346259/?ref_=ttfc_fc_cr24
Script and Continuity Department 
 Jorge Busto ,https://www.imdb.com//name/nm0003375/?ref_=ttfc_fc_cr25
Additional Crew 
 Eduardo Mendoza ,https://www.imdb.com//name/nm1737932/?ref_=ttfc_fc_cr26
 Isaac Moreno ,https://www.imdb.com//name/nm0603994/?ref_=ttfc_fc_cr27
