Pelo suelto _cast_member,imdb_page
Directed by 
 Pedro Galindo III ,https://www.imdb.com//name/nm0302135/?ref_=ttfc_fc_dr1
Writing Credits        (in alphabetical order)         
 Pedro Galindo III ,https://www.imdb.com//name/nm0302135/?ref_=ttfc_fc_wr1
 Santiago Galindo ,https://www.imdb.com//name/nm0302204/?ref_=ttfc_fc_wr2
 Ramón Obón ,https://www.imdb.com//name/nm0643582/?ref_=ttfc_fc_wr3
Produced by 
 Carlos Amador ,https://www.imdb.com//name/nm0023782/?ref_=ttfc_fc_cr2
 Fernando de Fuentes hijo ,https://www.imdb.com//name/nm0297367/?ref_=ttfc_fc_cr3
 Eduardo Galindo ,https://www.imdb.com//name/nm1392528/?ref_=ttfc_fc_cr4
 Santiago Galindo ,https://www.imdb.com//name/nm0302204/?ref_=ttfc_fc_cr5
Music by 
 Pedro Plascencia ,https://www.imdb.com//name/nm0686698/?ref_=ttfc_fc_cr6
Cinematography by 
 Xavier Cruz ,https://www.imdb.com//name/nm0190498/?ref_=ttfc_fc_cr7
Film Editing by 
 Carlos Savage ,https://www.imdb.com//name/nm0767266/?ref_=ttfc_fc_cr8
